# code	response_code	statement
Q138	3	Sexual harassment is rare for me
Q138	4	I never see sexual harassment
Q139	1	I avoid carrying much money for security reasons.
Q139	2	I don't avoid carrying money for security reasons.
Q140	1	I avoid nights out due to security concerns.
Q140	2	I don't avoid nights out for security reasons.
Q141	1	I carry a weapon for security
Q141	2	I don't carry a weapon
Q142	1	I'm very worried about my job security.
Q142	2	I'm greatly concerned about my job prospects.
Q142	3	I'm not very worried about my job.
Q142	4	I'm not worried about my job at all.
Q143	1	I'm very worried about my kids' education
Q143	2	I'm greatly concerned about my kids' education
Q143	3	I'm not very worried about my kids' education
Q143	4	I'm not worried about my kids' education
Q144	1	I was a victim of a crime this year.
Q144	2	I wasn't a crime victim this year.
Q145	1	I had a family member victimized by crime.
Q145	2	No family member was a crime victim.
Q146	1	I'm very worried about war involving my country.
Q146	2	I'm greatly worried about war involving my country.
Q146	3	I'm not very worried about war.
Q146	4	I'm not worried about war at all.
Q147	1	I'm very worried about a terrorist attack.
Q147	2	I'm greatly worried about a terrorist attack.
Q147	3	I'm not very worried about a terrorist attack.
Q147	4	I'm not worried about a terrorist attack.
Q149	1	I prioritize freedom.
Q149	2	I prioritize equality.
Q150	1	I prioritize freedom.
Q150	2	I prioritize security.
Q151	1	I would fight for my country.
Q151	2	I would not fight for my country.
Q152	1	I prioritize economic growth.
Q152	2	I value strong defence forces.
Q152	3	I want a greater say.
Q152	4	I care about environmental beauty.
Q153	1	I prioritize economic growth.
Q153	2	I value strong national defence.
Q153	3	I want a greater public say.
Q153	4	I care about environmental beauty.
Q154	1	I prioritize maintaining order in the nation.
Q154	2	I want more say in government decisions.
Q154	3	I focus on fighting rising prices.
Q154	4	I value protecting freedom of speech.
Q155	1	I prioritize maintaining order in the nation.
Q155	2	I want more say in government decisions.
Q155	3	I fight against rising prices.
Q155	4	I value protecting freedom of speech.
Q156	1	I prioritize a stable economy.
Q156	2	I value a humane society.
Q156	3	I believe ideas surpass money.
Q156	4	I fight against crime.
Q157	1	I prioritize a stable economy.
Q157	2	I value a humane society.
Q157	3	I believe ideas surpass money.
Q157	4	I fight against crime.
Q158	1	I think science hurts our lives.
Q158	2	I think science hurts our lives.
Q158	3	Science somewhat hurts our lives.
Q158	4	Science somewhat hurts our lives.
Q158	5	Science somewhat helps my life.
Q158	6	Science somewhat helps my life.
Q158	7	I think science helps our lives.
Q158	8	I think science helps our lives.
Q158	9	I think science greatly helps us.
Q158	10	I think science greatly helps us.
Q159	1	I don't think science helps the next generation.
Q159	2	I don't think science helps the next generation.
Q159	3	Science somewhat hinders the next generation.
Q159	4	Science somewhat hinders the next generation.
Q159	5	Science somewhat helps the next generation.
Q159	6	Science somewhat helps the next generation.
Q159	7	Science helps the next generation.
Q159	8	Science helps the next generation.
Q159	9	Science greatly helps the next generation.
Q159	10	Science greatly helps the next generation.
Q160	1	I completely disagree with that statement.
Q160	2	I completely disagree with that statement.
Q160	3	I somewhat disagree with that statement.
Q160	4	I somewhat disagree with that statement.
Q160	5	I somewhat agree with that statement.
Q160	6	I somewhat agree with that statement.
Q160	7	I agree with that statement.
Q160	8	I agree with that statement.
Q160	9	I completely agree with that statement.
Q160	10	I completely agree with that statement.
Q161	1	I completely disagree science breaks down morals.
Q161	2	I completely disagree science breaks down morals.
Q161	3	I somewhat disagree science breaks down morals.
Q161	4	I somewhat disagree science breaks down morals.
Q161	5	I somewhat agree science breaks down morals.
Q161	6	I somewhat agree science breaks down morals.
Q161	7	I agree science breaks down morals.
Q161	8	I agree science breaks down morals.
Q161	9	I completely agree science breaks down morals.
Q161	10	I completely agree science breaks down morals.
Q162	1	I strongly need science in daily life
Q162	2	I strongly need science in daily life
Q162	3	I somewhat need science daily
Q162	4	I somewhat need science daily
Q162	5	I somewhat don't need science
Q162	6	I somewhat don't need science
Q162	7	I don't need science
Q162	8	I don't need science
Q162	9	Science is not important to me
Q162	10	Science is not important to me
Q163	1	I think the world is much worse off
Q163	2	I think the world is much worse off
Q163	3	I think the world is somewhat worse off
Q163	4	I think the world is somewhat worse off
Q163	5	I think the world is somewhat better off
Q163	6	I think the world is somewhat better off
Q163	7	I think the world is better off
Q163	8	I think the world is better off
Q163	9	I think the world is much better off
Q163	10	I think the world is much better off
Q164	1	God is not important in my life.
Q164	2	God is not important in my life.
Q164	3	God has little importance in my life.
Q164	4	God has little importance in my life.
Q164	5	God is moderately important to me.
Q164	6	God is moderately important to me.
Q164	7	God is important in my life.
Q164	8	God is important in my life.
Q164	9	God is very important to me.
Q164	10	God is very important to me.
Q165	1	I believe in God.
Q165	2	I don't believe in God.
Q166	1	I believe in life after death.
Q166	2	I don't believe in life after death.
Q167	1	I believe in Hell.
Q167	2	I don't believe in Hell.
Q168	1	I believe in Heaven.
Q168	2	I don't believe in Heaven.
Q169	1	I always believe religion over science.
Q169	2	I usually side with religion.
Q169	3	I don't always agree with religion.
Q169	4	I never prioritize religion over science.
Q170	1	My religion is the only acceptable one.
Q170	2	I prefer my own religion.
Q170	3	Other religions are acceptable too.
Q170	4	All religions are equally acceptable.
Q171	1	I attend services more than once a week.
Q171	2	I attend services once a week.
Q171	3	I attend services once a month.
Q171	4	I attend only on special holy days.
Q171	5	I attend services once a year.
Q171	6	I attend less often than that.
Q171	7	I never attend services.
Q173	1	I am a religious person
Q173	2	I am not religious
Q173	3	I am an atheist
Q174	1	I follow religious norms and ceremonies.
Q174	2	I do good to other people.
Q175	1	I believe religion is about life after death.
Q175	2	I think religion is about this life.
Q176	1	I completely agree moral rules are hard to decide
Q176	2	I completely agree moral rules are hard to decide
Q176	3	I somewhat agree moral rules are hard to decide
Q176	4	I somewhat agree moral rules are hard to decide
Q176	5	I neither agree nor disagree on moral rules
Q176	6	I neither agree nor disagree on moral rules
Q176	7	I somewhat disagree moral rules are hard to decide
Q176	8	I somewhat disagree moral rules are hard to decide
Q176	9	I completely disagree moral rules are hard to decide
Q176	10	I completely disagree moral rules are hard to decide
Q177	1	I never claim benefits I'm not entitled to.
Q177	2	I never claim benefits I'm not entitled to.
Q177	3	I rarely claim benefits I'm not entitled to.
Q177	4	I rarely claim benefits I'm not entitled to.
Q177	5	I sometimes claim benefits I'm not entitled to.
Q177	6	I sometimes claim benefits I'm not entitled to.
Q177	7	I often claim benefits I'm not entitled to.
Q177	8	I often claim benefits I'm not entitled to.
Q177	9	I always claim benefits I'm not entitled to.
Q177	10	I always claim benefits I'm not entitled to.
Q178	1	I never find fare evasion justifiable
Q178	2	I never find fare evasion justifiable
Q178	3	I rarely find fare evasion justifiable
Q178	4	I rarely find fare evasion justifiable
Q178	5	I sometimes find fare evasion justifiable
Q178	6	I sometimes find fare evasion justifiable
Q178	7	I often find fare evasion justifiable
Q178	8	I often find fare evasion justifiable
Q178	9	I always find fare evasion justifiable
Q178	10	I always find fare evasion justifiable
Q179	1	I never think stealing is justifiable.
Q179	2	I never think stealing is justifiable.
Q179	3	I rarely think stealing is justifiable.
Q179	4	I rarely think stealing is justifiable.
Q179	5	I sometimes think stealing is justifiable.
Q179	6	I sometimes think stealing is justifiable.
Q179	7	I often think stealing is justifiable.
Q179	8	I often think stealing is justifiable.
Q179	9	I always think stealing is justifiable.
Q179	10	I always think stealing is justifiable.
Q180	1	I never think cheating on taxes is justifiable.
Q180	2	I never think cheating on taxes is justifiable.
Q180	3	I rarely think cheating on taxes is justifiable.
Q180	4	I rarely think cheating on taxes is justifiable.
Q180	5	I sometimes think cheating on taxes is justifiable.
Q180	6	I sometimes think cheating on taxes is justifiable.
Q180	7	I often think cheating on taxes is justifiable.
Q180	8	I often think cheating on taxes is justifiable.
Q180	9	I always think cheating on taxes is justifiable.
Q180	10	I always think cheating on taxes is justifiable.
Q181	1	I never think bribes are justifiable.
Q181	2	I never think bribes are justifiable.
Q181	3	I rarely think bribes are justifiable.
Q181	4	I rarely think bribes are justifiable.
Q181	5	I sometimes think bribes are justifiable.
Q181	6	I sometimes think bribes are justifiable.
Q181	7	I often think bribes are justifiable.
Q181	8	I often think bribes are justifiable.
Q181	9	I always think bribes are justifiable.
Q181	10	I always think bribes are justifiable.
Q182	1	I never think homosexuality is justifiable
Q182	2	I never think homosexuality is justifiable
Q182	3	I rarely think homosexuality is justifiable
Q182	4	I rarely think homosexuality is justifiable
